dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high
coco,yolo11n,fog,3,area,5000,0.011564301116287645,-0.00045930047067715973,-0.004567898054665879,-0.0006922570863253374,0.0024135527192008237,0.004611491968599085,-0.0017158543876076848,0.00632734635620677,-0.008712534909186064,0.00545749157107446,0.021179539827948218
coco,yolo11n,fog,5,area,5000,0.011564301116287645,0.00069913944589578,-0.0035199439650937065,0.00034226590283989444,0.003653223861746053,0.002201040621899214,0.0014927713913645002,0.0007082692305347138,-0.015972385334558165,0.001354463633859701,0.019347452592296907
coco,yolo11n,gaussian_noise,1,area,5000,0.011564301116287645,-0.0028156847132228546,-0.007370386144337831,-0.0029813357537142593,0.0002852858781198504,-0.002918772852223167,-0.004752066655933307,0.0018332938037101398,-0.016599713128833207,0.0008558747069394995,0.019432598324423553
coco,yolo11n,gaussian_noise,3,area,5000,0.011564301116287645,-0.004260614632532966,-0.008822008341784714,-0.004504374696095492,-0.000801605743756211,-0.01008050284313275,-0.0019051267942265526,-0.008175376048906197,-0.02345230233260208,-0.005948000014329068,0.012347768350260278
coco,yolo11n,gaussian_noise,5,area,5000,0.011564301116287645,-0.0031397756309244074,-0.007133387697674847,-0.0029612343851774664,0.0007323943652543546,-0.0060290169417355766,0.00781387662529559,-0.013842893567031167,-0.029865781442232963,-0.0119862140151374,0.005482809495123623
coco,yolo11n,jpeg,1,area,5000,0.011564301116287645,1.2758480701868802e-05,-0.002924639739244707,-0.0003121829764347328,0.002630978278597731,-0.0050151986761706735,0.006558685476361625,-0.011573884152532299,-0.022495621557919312,-0.010228135803984711,0.0026842493679144815
coco,yolo11n,jpeg,3,area,5000,0.011564301116287645,-0.0029082722636871172,-0.0071795710252683925,-0.003214676735308314,0.00012711928128502273,0.002370426936057546,-0.0025622339045306974,0.004932660840588243,-0.01156750512044341,0.003942209870321747,0.020267457901846173
coco,yolo11n,jpeg,5,area,5000,0.011564301116287645,-0.014567320071018686,-0.0189400438616078,-0.014701266336179797,-0.010825904658036303,-0.008640720222424653,-0.02210446456264703,0.013463744340222378,-0.004116734034827486,0.014667456853689823,0.03575779514854164
coco,yolo11n,motion_blur,1,area,5000,0.011564301116287645,-0.002555717446808825,-0.006111714573461528,-0.0026360150986815822,0.0009112998479819891,0.004547737437852639,-0.002450763885459395,0.006998501323312034,-0.007567219984057598,0.008477935130788684,0.02585011676444964
coco,yolo11n,motion_blur,3,area,5000,0.011564301116287645,-0.007541087040162847,-0.011996536058095805,-0.007719021449497876,-0.0037902023450310427,-0.004801347336133521,0.0019075568330690906,-0.006708904169202612,-0.025216180296084793,-0.0033597599366301384,0.01870363634491165
coco,yolo11n,motion_blur,5,area,5000,0.011564301116287645,-0.010300860632912967,-0.014491277040128914,-0.010493211969257649,-0.0068983688242216,-0.010771796808858813,-0.007577558706856946,-0.0031942381020018673,-0.0204614882879854,-0.002326625008389774,0.01717994286170539
coco,yolo11x,fog,1,area,5000,0.009104637830755768,-0.0012283609257637274,-0.0039053974945817945,-0.001276209513602966,0.0011668741382416215,-0.009131262028731546,-0.0043386239133667015,-0.0047926381153648445,-0.01647488726666461,-0.004796157375311527,0.006506928513902467
coco,yolo11x,fog,3,area,5000,0.009104637830755768,-0.0001702119748274722,-0.003127893604688972,-0.00017444907459940318,0.002788674689459752,-1.0717446300545497e-05,0.00034873857165929056,-0.00035945601795983606,-0.011513065011001411,-0.0005405735646286103,0.011093691947893235
coco,yolo11x,fog,5,area,5000,0.009104637830755768,0.0008193605695722139,-0.002403662645158572,0.0007455838563116268,0.003175263121105778,0.006019659854653636,0.005077819634488834,0.0009418402201648024,-0.010983671984407332,0.0019082592987017255,0.014596457960020971
